,Date,Venue,JRAD or Event SBD/MTX,Audience Taper,Audience Audio,RAD Track (RTn) or Event Video,Audience Video (Substantial),VIP Soundcheck ,Personnel changes,Number of Items,Number of Breakouts,Show Number
11,2014-12-30 00:00:00,"Capitol Theater. Port Chester, NY",Purchase at www.livedownloads.com,Eric McRoberts,https://archive.org/details/philrad2014-12-30.cmc641xt.flac16,,Full show (5 parts) at https://www.youtube.com/user/zoealexandra2007/feed,,Phil Lesh instead of Dreiwitz,16,0,11
12,2014-12-31 00:00:00,"Capitol Theater, Port Chester, NY",Purchase at www.livedownloads.com,Eric McRoberts,https://archive.org/details/philrad2014-12-31.cmc641xt.flac16,RT 28,,,Phil Lesh instead of Dreiwitz,18,0,12
13,2015-01-23 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2015-01-23.cmc621.sbd.matrix.flac16,Eric McRoberts,https://archive.org/details/jrad2015-01-23.cmc65xt.flac16,RT 30-31-33-35-36,,,,15,0,13
14,2015-01-24 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2015-01-24.cmc621.sbd.matrix.flac16,Eric McRoberts,https://archive.org/details/jrad2015-01-24.cmc65xt.flac16,RT 32-34-37,,,,17,0,14
15,2015-02-05 00:00:00,"Higher Ground, Burlington, VT",https://archive.org/details/jrad2015-02-05.cmc621.sbd.matrix.flac16,Mike D,https://archive.org/details/JRAD2015-02-05,,,,,15,0,15
16,2015-02-06 00:00:00,"Paradise Rock Club, Boston, MA",,Eric McRoberts,https://archive.org/details/jrad2015-02-06.mk5.flac16 ,,6 segments at https://www.youtube.com/playlist?list=PLarRT6kwL1aee9NfEmeTLPIvna0BWuL2c ,,,14,0,16
17,2015-02-07 00:00:00,"State Theater, Portland, ME",,Brian V,https://archive.org/details/jrad2015-02-07.dpa4011.flac16,,,,,17,0,17
18,2015-02-08 00:00:00,"Fete Ballroom, Providence, RI",,Mike Camp,https://archive.org/details/JRAD2015-02-08._KM140,,,,,14,0,18
19,2015-02-14 00:00:00,"Ogden Theater, Denver, CO",,Eric McRoberts,https://archive.org/details/jrad2015-02-14.cmc641xt.flac16,,,,,16,0,19
20,2015-02-15 00:00:00,"Ogden Theater, Denver, CO",,Eric McRoberts,https://archive.org/details/jrad2015-02-15.cmc641xt.flac16,RT 39,,,,15,0,20
21,2015-02-16 00:00:00,"Boulder Theater, Boulder, CO",,Eric McRoberts,https://archive.org/details/jrad2015-02-16.cmc641xt.flac16,RT 40,4 segments at https://www.youtube.com/channel/UCQhcGiN6mxQ_Xw0JCxPgTUw,,,17,0,21
22,2015-04-22 00:00:00,"First Ave, Minneapolis, MN",https://archive.org/details/jrad2015-04-22.cmc621.sbd.matrix.flac16,Perks,http://bt.etree.org/details.php?id=579730&viewcomm=641847#comm641847,,,,,14,0,22
23,2015-04-23 00:00:00,"Turner Hall Ballroom, Milwaukee, WI",,Picklemic,https://archive.org/details/jrad2015-04-23.picklemic,,,,,16,0,23
24,2015-04-24 00:00:00,"Concord Music Hall, Chicago, IL",,Jeff Frank,https://archive.org/details/jrad2015-04-24.akg481,,,,,13,0,24
25,2015-04-25 00:00:00,"The Pageant, St Louis, MO",https://archive.org/details/jrad2015-04-25.cmc621.sbd.matrix.flac16,Brian Porter,https://archive.org/details/jrad2015-04-25.mk4v.flac16,,33 mins of Set 2 at https://www.youtube.com/watch?v=ljgt-MRPDyg,,,14,0,25
26,2015-05-01 00:00:00,"Joy Theater, New Orleans, LA",https://archive.org/details/jrad2015-05-01.cmc621.sbd.matrix.flac16,SFTSC,https://archive.org/details/jrad2015-05-01.busman.bsc2.flac16,,,,,16,0,26
27,2015-05-02 00:00:00,"Joy Theater, New Orleans, LA",,kingfishcigars,http://bt.etree.org/details.php?id=579683,,,,,16,0,27
28,2015-05-09 00:00:00,"Capitol Theater, Port Chester, NY",http://www.nyctaper.com/2015/05/joe-russos-almost-dead-may-9-2015-capitol-theatre-flacmp3streaming-matrix/,Eric McRoberts,https://archive.org/details/jrad2015-05-09.cmc622xt.flac16,RT 38-41-42-43-49-56,,,With Nicole Atkins,15,0,28
29,2015-05-16 00:00:00,"Theater of the Living Arts, Pennsylvania, PA",NO SDB Audio for this show. Video does exist,T.J.Samulis,https://archive.org/details/jrad2015-05-16.mk41remaster.flac16,RT79,,,,16,0,29
30,2015-05-22 00:00:00,"CounterPoint Music Festival, Kingston Downs, GA",,,None known,,,,,8,0,30
31,2015-05-23 00:00:00,"Summer Camp Festival, Chillicoothe, IL",, Duain Altepeter,https://archive.org/details/JRAD2015-05-23,,https://www.youtube.com/watch?v=-J6hG3pPhd4&list=RD-J6hG3pPhd4#t=66,,,11,0,31
32,2015-05-24 00:00:00,"Ville Festival, Canal Fulton, OH",https://archive.org/details/jrad2015-05-24.cmc621.sbd.matrix.flac16,Nikres,https://archive.org/details/jrad2015-05-24.bin.flac16,,,,,16,0,32
33,2015-05-30 00:00:00,"Beanstalk Festival, Bond, CO",https://archive.org/details/jrad2015-05-30.cmc621.sbd.matrix.flac16,,None known,,,,,15,0,33
